%time,field.x,field.y,field.z
1510675179933358907,0.0,0.0,0.0
1510675179936384916,0.0,0.0,0.0
1510675179940962076,0.0,0.0,0.0
1510675179944871902,0.0,0.0,0.0
1510675179949974060,0.0,0.0,0.0
1510675179970484972,0.0,0.0,0.0
1510675179992521047,0.0,0.0,0.0
1510675179994071006,0.0,0.0,0.0
1510675179995346069,0.0,0.0,0.0
1510675179995739936,0.0,0.0,0.0
1510675179997283935,0.0,0.0,0.0
1510675180001338958,0.0,0.0,0.0
1510675180004946947,0.0,0.0,0.0
1510675180006880044,0.0,0.0,0.0
1510675180007937908,0.0,0.0,0.0
1510675180008843898,0.0,0.0,0.0
1510675180010572910,0.0,0.0,0.0
1510675180034157991,0.0,0.0,0.0
1510675180036401033,0.0,0.0,0.0
1510675180041506052,0.0,0.0,0.0
1510675180053011894,0.0,0.0,0.0
1510675180057132005,0.0,0.0,0.0
1510675180067442893,0.0,0.0,0.0
1510675180068960905,0.0,0.0,0.0
1510675180075153112,0.0,0.0,0.0
1510675180076054096,0.0,0.0,0.0
1510675180076826095,0.0,0.0,0.0
1510675180077395915,0.0,0.0,0.0
1510675180078773021,0.0,0.0,0.0
1510675180079843044,0.0,0.0,0.0
1510675180085369110,0.0,0.0,0.0
1510675180086334943,0.0,0.0,0.0
1510675180092427968,0.0,0.0,0.0
1510675180094832897,0.0,0.0,0.0
1510675180100342035,0.0,0.0,0.0
1510675180106055021,0.0,0.0,0.0
1510675180110430955,0.0,0.0,0.0
1510675180114883899,0.0,0.0,0.0
1510675180134967088,0.0,0.0,0.0
1510675180153161048,0.0,0.0,0.0
1510675180153867959,0.0,0.0,0.0
1510675180154757976,0.0,0.0,0.0
1510675180155832052,0.0,0.0,0.0
1510675180156831979,0.0,0.0,0.0
1510675180160245895,0.0,0.0,0.0
1510675180168359041,0.0,0.0,0.0
1510675180171299934,0.0,0.0,0.0
1510675180172117948,0.0,0.0,0.0
1510675180172759056,0.0,0.0,0.0
1510675180175278902,0.0,0.0,0.0
1510675180182590961,0.0,0.0,0.0
1510675180186856985,0.0,0.0,0.0
1510675180190880060,0.0,0.0,0.0
1510675180201721906,0.0,0.0,0.0
1510675180202312946,0.0,0.0,0.0
1510675180205857038,0.0,0.0,0.0
1510675180213413953,0.0,0.0,0.0
1510675180216310024,0.0,0.0,0.0
1510675180221066951,0.0,0.0,0.0
1510675180225349903,0.0,0.0,0.0
1510675180231559991,0.0,0.0,0.0
1510675180236023902,0.0,0.0,0.0
1510675180241470098,0.0,0.0,0.0
1510675180247431993,0.0,0.0,0.0
1510675180250411987,0.0,0.0,0.0
1510675180257385015,0.0,0.0,0.0
1510675180263952970,0.0,0.0,0.0
1510675180265300989,0.0,0.0,0.0
1510675180272835016,0.0,0.0,0.0
1510675180278446912,0.0,0.0,0.0
1510675180280850887,0.0,0.0,0.0
1510675180286103963,0.0,0.0,0.0
1510675180290358066,0.0,0.0,0.0
1510675180295888900,0.0,0.0,0.0
1510675180300872087,0.0,0.0,0.0
1510675180306521892,0.0,0.0,0.0
1510675180312000989,0.0,0.0,0.0
1510675180315860986,0.0,0.0,0.0
1510675180322891950,0.0,0.0,0.0
1510675180326721906,0.0,0.0,0.0
1510675180331518888,0.0,0.0,0.0
1510675180337985992,0.0,0.0,0.0
1510675180341444015,0.0,0.0,0.0
1510675180346463918,0.0,0.0,0.0
1510675180351869106,0.0,0.0,0.0
1510675180356714010,0.0,0.0,0.0
1510675180360966920,0.0,0.0,0.0
1510675180365946054,0.0,0.0,0.0
1510675180373142957,0.0,0.0,0.0
1510675180375448942,0.0,0.0,0.0
1510675180381977081,0.0,0.0,0.0
1510675180388384103,0.0,0.0,0.0
1510675180393959999,0.0,0.0,0.0
1510675180405289888,0.0,0.0,0.0
1510675180406954050,0.0,0.0,0.0
1510675180408513069,0.0,0.0,0.0
1510675180418209075,0.0,0.0,0.0
1510675180418461084,0.0,0.0,0.0
1510675180421550035,0.0,0.0,0.0
1510675180425884008,0.0,0.0,0.0
1510675180431467056,0.0,0.0,0.0
1510675180442868947,0.0,0.0,0.0
1510675180443583011,0.0,0.0,0.0
1510675180446432113,0.0,0.0,0.0
1510675180451407909,0.0,0.0,0.0
1510675180456355094,0.0,0.0,0.0
1510675180461347103,0.0,0.0,0.0
1510675180470001935,0.0,0.0,0.0
1510675180474422931,0.0,0.0,0.0
1510675180476299047,0.0,0.0,0.0
1510675180482038021,0.0,0.0,0.0
1510675180485810041,0.0,0.0,0.0
1510675180493535995,0.0,0.0,0.0
1510675180496745109,0.0,0.0,0.0
1510675180501436948,0.0,0.0,0.0
1510675180507049083,0.0,0.0,0.0
1510675180512130022,0.0,0.0,0.0
1510675180516835927,0.0,0.0,0.0
1510675180521449089,0.0,0.0,0.0
1510675180525892972,0.0,0.0,0.0
1510675180532510995,0.0,0.0,0.0
1510675180536495923,0.0,0.0,0.0
1510675180545897006,0.0,0.0,0.0
1510675180551028966,0.0,0.0,0.0
1510675180553409099,0.0,0.0,0.0
1510675180557243108,0.0,0.0,0.0
1510675180562922000,0.0,0.0,0.0
1510675180566071987,0.0,0.0,0.0
1510675180572385072,0.0,0.0,0.0
1510675180581176042,0.0,0.0,0.0
1510675180583364009,0.0,0.0,0.0
1510675180586822986,0.0,0.0,0.0
1510675180594280958,0.0,0.0,0.0
1510675180597275972,0.0,0.0,0.0
1510675180601929903,0.0,0.0,0.0
1510675180608059883,0.0,0.0,0.0
1510675180611886978,0.0,0.0,0.0
1510675180616821050,0.0,0.0,0.0
1510675180621896028,0.0,0.0,0.0
1510675180626509904,0.0,0.0,0.0
1510675180635118007,0.0,0.0,0.0
1510675180638606071,0.0,0.0,0.0
1510675180643928050,0.0,0.0,0.0
1510675180646981000,0.0,0.0,0.0
1510675180652079105,0.0,0.0,0.0
1510675180656824111,0.0,0.0,0.0
1510675180662333011,0.0,0.0,0.0
1510675180668359041,0.0,0.0,0.0
1510675180671845912,0.0,0.0,0.0
1510675180678982973,0.0,0.0,0.0
1510675180683208942,0.0,0.0,0.0
1510675180688400030,0.0,0.0,0.0
1510675180691946983,0.0,0.0,0.0
1510675180696557998,0.0,0.0,0.0
1510675180703802108,0.0,0.0,0.0
1510675180709988117,0.0,0.0,0.0
1510675180713845014,0.0,0.0,0.0
1510675180716586112,0.0,0.0,0.0
1510675180722157955,0.0,0.0,0.0
1510675180727303028,0.0,0.0,0.0
1510675180732613086,0.0,0.0,0.0
1510675180737688064,0.0,0.0,0.0
1510675180742436885,0.0,0.0,0.0
1510675180746973991,0.0,0.0,0.0
1510675180753995895,0.0,0.0,0.0
1510675180757433891,0.0,0.0,0.0
1510675180761859893,0.0,0.0,0.0
1510675180766836881,0.0,0.0,0.0
1510675180772914886,0.0,0.0,0.0
1510675180777942895,0.0,0.0,0.0
1510675180782911062,0.0,0.0,0.0
1510675180786545991,0.0,0.0,0.0
1510675180792331933,0.0,0.0,0.0
1510675180796874046,0.0,0.0,0.0
1510675180805481910,0.0,0.0,0.0
1510675180807461977,0.0,0.0,0.0
1510675180813565015,0.0,0.0,0.0
1510675180816797971,0.0,0.0,0.0
1510675180822381973,0.0,0.0,0.0
1510675180830554962,0.0,0.0,0.0
1510675180833381891,0.0,0.0,0.0
1510675180836945056,0.0,0.0,0.0
1510675180846427917,0.0,0.0,0.0
1510675180847434997,0.0,0.0,0.0
1510675180854053020,0.0,0.0,0.0
1510675180857542037,0.0,0.0,0.0
1510675180862394094,0.0,0.0,0.0
1510675180866859912,0.0,0.0,0.0
1510675180874700069,0.0,0.0,0.0
1510675180889244079,0.0,0.0,0.0
1510675180890881061,0.0,0.0,0.0
1510675180891836881,0.0,0.0,0.0
1510675180895848035,0.0,0.0,0.0
1510675180897330999,0.0,0.0,0.0
1510675180906876087,0.0,0.0,0.0
1510675180911925077,0.0,0.0,0.0
1510675180912802934,0.0,0.0,0.0
1510675180916841030,0.0,0.0,0.0
1510675180922391891,0.0,0.0,0.0
1510675180927473068,0.0,0.0,0.0
1510675180932861089,0.0,0.0,0.0
1510675180945293903,0.0,0.0,0.0
1510675180946542978,0.0,0.0,0.0
1510675180947334051,0.0,0.0,0.0
1510675180954416990,0.0,0.0,0.0
1510675180957768917,0.0,0.0,0.0
1510675180964622974,0.0,0.0,0.0
1510675180968889951,0.0,0.0,0.0
1510675180976000070,0.0,0.0,0.0
1510675180977374076,0.0,0.0,0.0
1510675180982872962,0.0,0.0,0.0
1510675180987374067,0.0,0.0,0.0
1510675180996432065,0.0,0.0,0.0
1510675181002947092,0.0,0.0,0.0
1510675181006994009,0.0,0.0,0.0
1510675181009773969,0.0,0.0,0.0
1510675181014833927,0.0,0.0,0.0
1510675181032649040,0.0,0.0,0.0
1510675181034415960,0.0,0.0,0.0
1510675181040411949,0.0,0.0,0.0
1510675181041311979,0.0,0.0,0.0
1510675181042030096,0.0,0.0,0.0
1510675181042440891,0.0,0.0,0.0
1510675181048006057,0.0,0.0,0.0
1510675181053920984,0.0,0.0,0.0
