%time,field.x,field.y,field.z
1510758963935272932,0.0,0.0,0.0
1510758963941917896,0.0,0.0,0.0
1510758963947063922,0.0,0.0,0.0
1510758963951782941,0.0,0.0,0.0
1510758963956518888,0.0,0.0,0.0
1510758963961529970,0.0,0.0,0.0
1510758963967072963,0.0,0.0,0.0
1510758963972215890,0.0,0.0,0.0
1510758963976737976,0.0,0.0,0.0
1510758963981539964,0.0,0.0,0.0
1510758963986934900,0.0,0.0,0.0
1510758963996860980,0.0,0.0,0.0
1510758964001993894,0.0,0.0,0.0
1510758964006712913,0.0,0.0,0.0
1510758964011771917,0.0,0.0,0.0
1510758964016752004,0.0,0.0,0.0
1510758964021706104,0.0,0.0,0.0
1510758964026585102,0.0,0.0,0.0
1510758964031872987,0.0,0.0,0.0
1510758964036736965,0.0,0.0,0.0
1510758964041733026,0.0,0.0,0.0
1510758964046571969,0.0,0.0,0.0
1510758964051925897,0.0,0.0,0.0
1510758964062114953,0.0,0.0,0.0
1510758964066747903,0.0,0.0,0.0
1510758964071794033,0.0,0.0,0.0
1510758964076500892,0.0,0.0,0.0
1510758964081630945,0.0,0.0,0.0
1510758964091825008,0.0,0.0,0.0
1510758964096808910,0.0,0.0,0.0
1510758964101717948,0.0,0.0,0.0
1510758964106729984,0.0,0.0,0.0
1510758964111594915,0.0,0.0,0.0
1510758964122152090,0.0,0.0,0.0
1510758964126741886,0.0,0.0,0.0
1510758964131575107,0.0,0.0,0.0
1510758964136584997,0.0,0.0,0.0
1510758964141680002,0.0,0.0,0.0
1510758964146514892,0.0,0.0,0.0
1510758964151515007,0.0,0.0,0.0
1510758964156678915,0.0,0.0,0.0
1510758964161740064,0.0,0.0,0.0
1510758964166799068,0.0,0.0,0.0
1510758964171689987,0.0,0.0,0.0
1510758964181618928,0.0,0.0,0.0
1510758964186819076,0.0,0.0,0.0
1510758964196822881,0.0,0.0,0.0
1510758964201514959,0.0,0.0,0.0
1510758964206600904,0.0,0.0,0.0
1510758964211729049,0.0,0.0,0.0
1510758964216800928,0.0,0.0,0.0
1510758964221735000,0.0,0.0,0.0
1510758964231626033,0.0,0.0,0.0
1510758964236865997,0.0,0.0,0.0
1510758964246926069,0.0,0.0,0.0
1510758964251770973,0.0,0.0,0.0
1510758964256709098,0.0,0.0,0.0
1510758964261740922,0.0,0.0,0.0
1510758964271480083,0.0,0.0,0.0
1510758964276941061,0.0,0.0,0.0
1510758964281723976,0.0,0.0,0.0
1510758964286655902,0.0,0.0,0.0
1510758964296657085,0.0,0.0,0.0
1510758964301662921,0.0,0.0,0.0
1510758964306632041,0.0,0.0,0.0
1510758964322000980,0.0,0.0,0.0
1510758964326854944,0.0,0.0,0.0
1510758964331655979,0.0,0.0,0.0
1510758964336671113,0.0,0.0,0.0
1510758964346575975,0.0,0.0,0.0
1510758964353420019,0.0,0.0,0.0
1510758964356559991,0.0,0.0,0.0
1510758964361677885,0.0,0.0,0.0
1510758964366650104,0.0,0.0,0.0
1510758964371478080,0.0,0.0,0.0
1510758964376854896,0.0,0.0,0.0
1510758964381700038,0.0,0.0,0.0
1510758964386679887,0.0,0.0,0.0
1510758964401587963,0.0,0.0,0.0
1510758964406872987,0.0,0.0,0.0
1510758964411760091,0.0,0.0,0.0
1510758964416753053,0.0,0.0,0.0
1510758964429361104,0.0,0.0,0.0
1510758964438745975,0.0,0.0,0.0
1510758964442953109,0.0,0.0,0.0
1510758964446748018,0.0,0.0,0.0
1510758964451462984,0.0,0.0,0.0
1510758964456938982,0.0,0.0,0.0
1510758964461632966,0.0,0.0,0.0
1510758964471786975,0.0,0.0,0.0
1510758964481775999,0.0,0.0,0.0
1510758964486754894,0.0,0.0,0.0
1510758964496690034,0.0,0.0,0.0
1510758964501611948,0.0,0.0,0.0
1510758964511925935,0.0,0.0,0.0
1510758964516886949,0.0,0.0,0.0
1510758964521708965,0.0,0.0,0.0
1510758964526566028,0.0,0.0,0.0
1510758964531466007,0.0,0.0,0.0
1510758964536835908,0.0,0.0,0.0
1510758964546571016,0.0,0.0,0.0
1510758964551873922,0.0,0.0,0.0
1510758964556782007,0.0,0.0,0.0
1510758964561822891,0.0,0.0,0.0
1510758964566709995,0.0,0.0,0.0
1510758964577033042,0.0,0.0,0.0
1510758964581835031,0.0,0.0,0.0
1510758964587033987,0.0,0.0,0.0
1510758964591783046,0.0,0.0,0.0
1510758964603817939,0.0,0.0,0.0
1510758964606839895,0.0,0.0,0.0
1510758964611757040,0.0,0.0,0.0
1510758964616544961,0.0,0.0,0.0
1510758964621997117,0.0,0.0,0.0
1510758964631834983,0.0,0.0,0.0
1510758964636861085,0.0,0.0,0.0
1510758964641767024,0.0,0.0,0.0
1510758964646527051,0.0,0.0,0.0
1510758964651777982,0.0,0.0,0.0
1510758964661704063,0.0,0.0,0.0
1510758964666845083,0.0,0.0,0.0
1510758964671855926,0.0,0.0,0.0
1510758964676573991,0.0,0.0,0.0
1510758964681742906,0.0,0.0,0.0
1510758964691554069,0.0,0.0,0.0
1510758964696902036,0.0,0.0,0.0
1510758964706612110,0.0,0.0,0.0
1510758964711865901,0.0,0.0,0.0
1510758964716710090,0.0,0.0,0.0
1510758964721646070,0.0,0.0,0.0
1510758964731762886,0.0,0.0,0.0
1510758964736706972,0.0,0.0,0.0
1510758964741738080,0.0,0.0,0.0
1510758964747129917,0.0,0.0,0.0
1510758964751916885,0.0,0.0,0.0
1510758964761624097,0.0,0.0,0.0
1510758964766787052,0.0,0.0,0.0
1510758964771572113,0.0,0.0,0.0
1510758964781692981,0.0,0.0,0.0
1510758964791660070,0.0,0.0,0.0
1510758964801980972,0.0,0.0,0.0
1510758964811681985,0.0,0.0,0.0
1510758964816790103,0.0,0.0,0.0
1510758964821671962,0.0,0.0,0.0
1510758964831701993,0.0,0.0,0.0
1510758964837160110,0.0,0.0,0.0
1510758964841816902,0.0,0.0,0.0
1510758964846769094,0.0,0.0,0.0
1510758964851761102,0.0,0.0,0.0
1510758964861813068,0.0,0.0,0.0
1510758964866772890,0.0,0.0,0.0
1510758964871829986,0.0,0.0,0.0
1510758964881755113,0.0,0.0,0.0
1510758964886692047,0.0,0.0,0.0
1510758964891505002,0.0,0.0,0.0
1510758964896786928,0.0,0.0,0.0
1510758964901998043,0.0,0.0,0.0
1510758964906550884,0.0,0.0,0.0
1510758964912038087,0.0,0.0,0.0
1510758964916655063,0.0,0.0,0.0
1510758964926886081,0.0,0.0,0.0
1510758964931962966,0.0,0.0,0.0
1510758964936569929,0.0,0.0,0.0
1510758964941608905,0.0,0.0,0.0
1510758964951543092,0.0,0.0,0.0
1510758964966928005,0.0,0.0,0.0
1510758964971679925,0.0,0.0,0.0
1510758964976703882,0.0,0.0,0.0
1510758964986946105,0.0,0.0,0.0
1510758964991832971,0.0,0.0,0.0
1510758964996876001,0.0,0.0,0.0
1510758965001846075,0.0,0.0,0.0
1510758965006592035,0.0,0.0,0.0
1510758965011558055,0.0,0.0,0.0
1510758965016726970,0.0,0.0,0.0
1510758965021675109,0.0,0.0,0.0
1510758965026617050,0.0,0.0,0.0
1510758965031785964,0.0,0.0,0.0
1510758965036582946,0.0,0.0,0.0
1510758965041665077,0.0,0.0,0.0
1510758965046781063,0.0,0.0,0.0
1510758965056713104,0.0,0.0,0.0
1510758965064882040,0.0,0.0,0.0
1510758965066526889,0.0,0.0,0.0
1510758965072006940,0.0,0.0,0.0
1510758965077440023,0.0,0.0,0.0
1510758965083754062,0.0,0.0,0.0
1510758965091886997,0.0,0.0,0.0
1510758965096720933,0.0,0.0,0.0
1510758965102195978,0.0,0.0,0.0
1510758965106759071,0.0,0.0,0.0
1510758965111766099,0.0,0.0,0.0
