%time,field.x,field.y,field.z
1510758492429971933,0.0,0.0,0.0
1510758492435096979,0.0,0.0,0.0
1510758492439963102,0.0,0.0,0.0
1510758492444988965,0.0,0.0,0.0
1510758492450206995,0.0,0.0,0.0
1510758492460129976,0.0,0.0,0.0
1510758492465112924,0.0,0.0,0.0
1510758492469954013,0.0,0.0,0.0
1510758492478527069,0.0,0.0,0.0
1510758492481060028,0.0,0.0,0.0
1510758492485197067,0.0,0.0,0.0
1510758492495244026,0.0,0.0,0.0
1510758492499967098,0.0,0.0,0.0
1510758492505111932,0.0,0.0,0.0
1510758492509938001,0.0,0.0,0.0
1510758492515033006,0.0,0.0,0.0
1510758492520044088,0.0,0.0,0.0
1510758492525075912,0.0,0.0,0.0
1510758492535022020,0.0,0.0,0.0
1510758492545120000,0.0,0.0,0.0
1510758492550034046,0.0,0.0,0.0
1510758492555140018,0.0,0.0,0.0
1510758492560688018,0.0,0.0,0.0
1510758492565062999,0.0,0.0,0.0
1510758492569968938,0.0,0.0,0.0
1510758492575119972,0.0,0.0,0.0
1510758492585036993,0.0,0.0,0.0
1510758492595175027,0.0,0.0,0.0
1510758492599982976,0.0,0.0,0.0
1510758492605084896,0.0,0.0,0.0
1510758492610189914,0.0,0.0,0.0
1510758492614989995,0.0,0.0,0.0
1510758492624993085,0.0,0.0,0.0
1510758492629957914,0.0,0.0,0.0
1510758492635173082,0.0,0.0,0.0
1510758492639969110,0.0,0.0,0.0
1510758492645231008,0.0,0.0,0.0
1510758492655096054,0.0,0.0,0.0
1510758492659955024,0.0,0.0,0.0
1510758492665024995,0.0,0.0,0.0
1510758492669971942,0.0,0.0,0.0
1510758492675008058,0.0,0.0,0.0
1510758492685056924,0.0,0.0,0.0
1510758492690551042,0.0,0.0,0.0
1510758492695081949,0.0,0.0,0.0
1510758492700007915,0.0,0.0,0.0
1510758492705101013,0.0,0.0,0.0
1510758492710061073,0.0,0.0,0.0
1510758492715025901,0.0,0.0,0.0
1510758492720014095,0.0,0.0,0.0
1510758492725090026,0.0,0.0,0.0
1510758492730052947,0.0,0.0,0.0
1510758492740031003,0.0,0.0,0.0
1510758492744915962,0.0,0.0,0.0
1510758492750113964,0.0,0.0,0.0
