%time,field.x,field.y,field.z
1510755609095487117,0.0,0.0,0.0
1510755609101572990,0.0,0.0,0.0
1510755609106425046,0.0,0.0,0.0
1510755609111458063,0.0,0.0,0.0
1510755609117094993,0.0,0.0,0.0
1510755609122759103,0.0,0.0,0.0
1510755609131690979,0.0,0.0,0.0
1510755609136600017,0.0,0.0,0.0
1510755609141433954,0.0,0.0,0.0
1510755609146403074,0.0,0.0,0.0
1510755609151417016,0.0,0.0,0.0
1510755609161592006,0.0,0.0,0.0
1510755609166435956,0.0,0.0,0.0
1510755609171328067,0.0,0.0,0.0
1510755609176496028,0.0,0.0,0.0
1510755609181411981,0.0,0.0,0.0
1510755609186342954,0.0,0.0,0.0
1510755609191315889,0.0,0.0,0.0
1510755609196398973,0.0,0.0,0.0
1510755609216494083,0.0,0.0,0.0
1510755609221625089,0.0,0.0,0.0
1510755609232008934,0.0,0.0,0.0
1510755609241507053,0.0,0.0,0.0
1510755609252046108,0.0,0.0,0.0
1510755609256474971,0.0,0.0,0.0
1510755609261455059,0.0,0.0,0.0
1510755609266396999,0.0,0.0,0.0
1510755609271354913,0.0,0.0,0.0
1510755609276433944,0.0,0.0,0.0
1510755609281564950,0.0,0.0,0.0
1510755609291784048,0.0,0.0,0.0
1510755609296427965,0.0,0.0,0.0
1510755609301378965,0.0,0.0,0.0
1510755609311419010,0.0,0.0,0.0
1510755609316508054,0.0,0.0,0.0
1510755609321428060,0.0,0.0,0.0
1510755609326841115,0.0,0.0,0.0
1510755609331434965,0.0,0.0,0.0
1510755609336429119,0.0,0.0,0.0
1510755609341639995,0.0,0.0,0.0
1510755609346580982,0.0,0.0,0.0
1510755609351488113,0.0,0.0,0.0
1510755609356337070,0.0,0.0,0.0
1510755609361416101,0.0,0.0,0.0
1510755609366450071,0.0,0.0,0.0
1510755609371305942,0.0,0.0,0.0
1510755609376425981,0.0,0.0,0.0
1510755609381326913,0.0,0.0,0.0
1510755609386471033,0.0,0.0,0.0
1510755609391347885,0.0,0.0,0.0
1510755609396442890,0.0,0.0,0.0
1510755609401365995,0.0,0.0,0.0
1510755609406503915,0.0,0.0,0.0
1510755609411678075,0.0,0.0,0.0
1510755609416531085,0.0,0.0,0.0
1510755609421442985,0.0,0.0,0.0
1510755609426486968,0.0,0.0,0.0
1510755609431454896,0.0,0.0,0.0
1510755609436481952,0.0,0.0,0.0
1510755609441401958,0.0,0.0,0.0
1510755609446520090,0.0,0.0,0.0
1510755609451426029,0.0,0.0,0.0
1510755609456417083,0.0,0.0,0.0
1510755609461410045,0.0,0.0,0.0
1510755609471332073,0.0,0.0,0.0
1510755609476320028,0.0,0.0,0.0
1510755609481462001,0.0,0.0,0.0
1510755609486443996,0.0,0.0,0.0
1510755609491619110,0.0,0.0,0.0
1510755609496501922,0.0,0.0,0.0
1510755609501430988,0.0,0.0,0.0
1510755609506452083,0.0,0.0,0.0
1510755609516546964,0.0,0.0,0.0
1510755609521337985,0.0,0.0,0.0
1510755609526585102,0.0,0.0,0.0
1510755609531523942,0.0,0.0,0.0
1510755609536495923,0.0,0.0,0.0
1510755609541507959,0.0,0.0,0.0
1510755609546375036,0.0,0.0,0.0
1510755609551480054,0.0,0.0,0.0
1510755609556482076,0.0,0.0,0.0
1510755609561340093,0.0,0.0,0.0
1510755609566730022,0.0,0.0,0.0
1510755609571474075,0.0,0.0,0.0
1510755609581634998,0.0,0.0,0.0
1510755609586452960,0.0,0.0,0.0
1510755609591347932,0.0,0.0,0.0
1510755609596518993,0.0,0.0,0.0
1510755609601383924,0.0,0.0,0.0
1510755609606441974,0.0,0.0,0.0
1510755609611455917,0.0,0.0,0.0
1510755609616456985,0.0,0.0,0.0
1510755609621407032,0.0,0.0,0.0
1510755609626427888,0.0,0.0,0.0
1510755609631489038,0.0,0.0,0.0
1510755609636768102,0.0,0.0,0.0
1510755609641552925,0.0,0.0,0.0
1510755609646423101,0.0,0.0,0.0
1510755609651798009,0.0,0.0,0.0
1510755609656424045,0.0,0.0,0.0
1510755609661417961,0.0,0.0,0.0
1510755609666393041,0.0,0.0,0.0
1510755609671386003,0.0,0.0,0.0
1510755609681549072,0.0,0.0,0.0
1510755609686764001,0.0,0.0,0.0
1510755609701514959,0.0,0.0,0.0
1510755609706348896,0.0,0.0,0.0
1510755609711558103,0.0,0.0,0.0
1510755609716578006,0.0,0.0,0.0
1510755609721327066,0.0,0.0,0.0
1510755609726430892,0.0,0.0,0.0
1510755609731698036,0.0,0.0,0.0
1510755609736496925,0.0,0.0,0.0
1510755609741406917,0.0,0.0,0.0
1510755609746468067,0.0,0.0,0.0
1510755609751358032,0.0,0.0,0.0
1510755609757354021,0.0,0.0,0.0
1510755609761465072,0.0,0.0,0.0
1510755609766449928,0.0,0.0,0.0
1510755609776613950,0.0,0.0,0.0
1510755609781491994,0.0,0.0,0.0
1510755609786379098,0.0,0.0,0.0
1510755609791554927,0.0,0.0,0.0
1510755609796447992,0.0,0.0,0.0
1510755609806690931,0.0,0.0,0.0
1510755609811328887,0.0,0.0,0.0
1510755609816497087,0.0,0.0,0.0
1510755609821682929,0.0,0.0,0.0
1510755609826644897,0.0,0.0,0.0
1510755609831361055,0.0,0.0,0.0
1510755609836581945,0.0,0.0,0.0
1510755609846474885,0.0,0.0,0.0
1510755609851572036,0.0,0.0,0.0
1510755609861546993,0.0,0.0,0.0
1510755609866375923,0.0,0.0,0.0
1510755609871612071,0.0,0.0,0.0
1510755609876348972,0.0,0.0,0.0
1510755609885838985,0.0,0.0,0.0
1510755609886461973,0.0,0.0,0.0
1510755609892689943,0.0,0.0,0.0
1510755609896580934,0.0,0.0,0.0
1510755609906605005,0.0,0.0,0.0
1510755609911680936,0.0,0.0,0.0
1510755609916491031,0.0,0.0,0.0
1510755609921478033,0.0,0.0,0.0
1510755609926431894,0.0,0.0,0.0
1510755609931387901,0.0,0.0,0.0
1510755609941634893,0.0,0.0,0.0
1510755609946460962,0.0,0.0,0.0
1510755609951379060,0.0,0.0,0.0
1510755609956499099,0.0,0.0,0.0
1510755609971887111,0.0,0.0,0.0
1510755609976427078,0.0,0.0,0.0
1510755609981384038,0.0,0.0,0.0
1510755609986412048,0.0,0.0,0.0
1510755609991378068,0.0,0.0,0.0
1510755610001585960,0.0,0.0,0.0
1510755610006455898,0.0,0.0,0.0
1510755610011403083,0.0,0.0,0.0
1510755610016402006,0.0,0.0,0.0
1510755610021498918,0.0,0.0,0.0
1510755610031397104,0.0,0.0,0.0
1510755610036458015,0.0,0.0,0.0
1510755610041614055,0.0,0.0,0.0
1510755610046391963,0.0,0.0,0.0
1510755610051377058,0.0,0.0,0.0
1510755610056380033,0.0,0.0,0.0
1510755610061439037,0.0,0.0,0.0
1510755610071799993,0.0,0.0,0.0
1510755610076451063,0.0,0.0,0.0
1510755610081598997,0.0,0.0,0.0
1510755610086441993,0.0,0.0,0.0
1510755610103758096,0.0,0.0,0.0
1510755610103930950,0.0,0.0,0.0
1510755610106399059,0.0,0.0,0.0
1510755610111668109,0.0,0.0,0.0
1510755610116460084,0.0,0.0,0.0
1510755610121555089,0.0,0.0,0.0
1510755610131397962,0.0,0.0,0.0
1510755610136392116,0.0,0.0,0.0
1510755610141474962,0.0,0.0,0.0
1510755610151484966,0.0,0.0,0.0
1510755610156455993,0.0,0.0,0.0
1510755610161479949,0.0,0.0,0.0
