%time,field.x,field.y,field.z
1510748588458225011,0.0,0.6,-0.0
1510748588465609073,0.0,0.6,-0.0
1510748588466196060,0.0,0.6,-0.0
1510748588472728967,0.0,0.6,-0.0
1510748588480655908,0.0,0.6,-0.0
1510748588488938093,0.0,0.6,-0.0
1510748588493504047,0.0,0.6,-0.0
1510748588499492883,0.0,0.6,-0.0
1510748588500247955,0.0,0.6,-0.0
1510748588502074956,0.0,0.6,-0.0
1510748588512340068,0.0,0.6,-0.0
1510748588513048887,0.0,0.6,-0.0
1510748588516549110,0.0,0.6,-0.0
1510748588524189949,0.0,0.6,-0.0
1510748588525471925,0.0,0.6,-0.0
1510748588535866022,0.0,0.6,-0.0
1510748588536293983,0.0,0.6,-0.0
1510748588538794040,0.0,0.6,-0.0
1510748588553000926,0.0,0.6,-0.0
1510748588556360006,0.0,0.6,-0.0
1510748588556974887,0.0,0.6,-0.0
1510748588562019109,0.0,0.6,-0.0
1510748588565026998,0.0,0.6,-0.0
1510748588570780992,0.0,0.6,-0.0
1510748588575222969,0.0,0.6,-0.0
1510748588584273099,0.0,0.6,-0.0
1510748588586116075,0.0,0.6,-0.0
1510748588588495969,0.0,0.6,-0.0
1510748588593687057,0.0,0.6,-0.0
1510748588598639965,0.0,0.6,-0.0
1510748588603838920,0.0,0.6,-0.0
1510748588607963085,0.0,0.6,-0.0
1510748588613517999,0.0,0.6,-0.0
1510748588619249105,0.0,0.6,-0.0
1510748588626705884,0.0,0.6,-0.0
1510748588632765054,0.0,0.6,-0.0
1510748588634919881,0.0,0.6,-0.0
1510748588639101982,0.0,0.6,-0.0
1510748588644145965,0.0,0.6,-0.0
1510748588655205011,0.0,0.6,-0.0
1510748588656088113,0.0,0.6,-0.0
1510748588659219026,0.0,0.6,-0.0
1510748588664216041,0.0,0.6,-0.0
1510748588669197082,0.0,0.6,-0.0
1510748588674123048,0.0,0.6,-0.0
1510748588685369014,0.0,0.6,-0.0
1510748588688651084,0.0,0.6,-0.0
1510748588690370082,0.0,0.6,-0.0
1510748588695275068,0.0,0.6,-0.0
1510748588699400901,0.0,0.6,-0.0
1510748588704121112,0.0,0.6,-0.0
1510748588709750890,0.0,0.6,-0.0
1510748588721304893,0.0,0.6,-0.0
1510748588722042083,0.0,0.6,-0.0
1510748588724107027,0.0,0.6,-0.0
1510748588731293916,0.0,0.6,-0.0
1510748588733989000,0.0,0.6,-0.0
1510748588739150047,0.0,0.6,-0.0
1510748588746067047,0.0,0.6,-0.0
1510748588749157905,0.0,0.6,-0.0
1510748588754710912,0.0,0.6,-0.0
1510748588760129928,0.0,0.6,-0.0
1510748588764658927,0.0,0.6,-0.0
1510748588769673109,0.0,0.6,-0.0
1510748588775129079,0.0,0.6,-0.0
1510748588781306028,0.0,0.6,-0.0
