%time,field.x,field.y,field.z
1510746867998735904,0.2,0.0,-0.0
1510746868010910987,0.2,0.0,-0.0
1510746868011405944,0.2,0.0,-0.0
1510746868013995885,0.2,0.0,-0.0
1510746868017545938,0.2,0.0,-0.0
1510746868022701978,0.2,0.0,-0.0
1510746868028503894,0.2,0.0,-0.0
1510746868038099050,0.2,0.0,-0.0
1510746868038261890,0.2,0.0,-0.0
1510746868045044898,0.2,0.0,-0.0
1510746868049031019,0.2,0.0,-0.0
1510746868052898883,0.2,0.0,-0.0
1510746868062902927,0.2,0.0,-0.0
1510746868066076040,0.2,0.0,-0.0
1510746868068497896,0.2,0.0,-0.0
1510746868073800086,0.2,0.0,-0.0
1510746868080132961,0.2,0.0,-0.0
1510746868085376024,0.2,0.0,-0.0
1510746868090096950,0.2,0.0,-0.0
1510746868099524974,0.2,0.0,-0.0
1510746868099997043,0.2,0.0,-0.0
1510746868104106903,0.2,0.0,-0.0
1510746868107934951,0.2,0.0,-0.0
1510746868113534927,0.2,0.0,-0.0
1510746868118666887,0.2,0.0,-0.0
1510746868125288009,0.2,0.0,-0.0
1510746868127940893,0.2,0.0,-0.0
1510746868133766889,0.2,0.0,-0.0
1510746868141613006,0.2,0.0,-0.0
1510746868147139072,0.2,0.0,-0.0
1510746868148432016,0.2,0.0,-0.0
1510746868156618118,0.2,0.0,-0.0
1510746868158206939,0.2,0.0,-0.0
1510746868163173913,0.2,0.0,-0.0
1510746868174725055,0.2,0.0,-0.0
1510746868175803899,0.2,0.0,-0.0
1510746868177947998,0.2,0.0,-0.0
1510746868182998895,0.2,0.0,-0.0
1510746868192686080,0.2,0.0,-0.0
1510746868198708057,0.2,0.0,-0.0
1510746868204633951,0.2,0.0,-0.0
1510746868205188989,0.2,0.0,-0.0
1510746868207976102,0.2,0.0,-0.0
1510746868213531970,0.2,0.0,-0.0
1510746868219518899,0.2,0.0,-0.0
1510746868223870038,0.2,0.0,-0.0
1510746868231595039,0.2,0.0,-0.0
1510746868234154939,0.2,0.0,-0.0
1510746868238804101,0.2,0.0,-0.0
1510746868244643926,0.2,0.0,-0.0
1510746868249321937,0.2,0.0,-0.0
1510746868257154941,0.2,0.0,-0.0
1510746868263119935,0.2,0.0,-0.0
1510746868267090082,0.2,0.0,-0.0
1510746868267985105,0.2,0.0,-0.0
1510746868273581981,0.2,0.0,-0.0
1510746868278466939,0.2,0.0,-0.0
1510746868296498060,0.2,0.0,-0.0
1510746868301760911,0.2,0.0,-0.0
1510746868303915023,0.2,0.0,-0.0
1510746868304954051,0.2,0.0,-0.0
1510746868305412054,0.2,0.0,-0.0
1510746868308635950,0.2,0.0,-0.0
1510746868317893028,0.2,0.0,-0.0
1510746868322434902,0.2,0.0,-0.0
1510746868323431968,0.2,0.0,-0.0
1510746868329617977,0.2,0.0,-0.0
1510746868333864927,0.2,0.0,-0.0
1510746868338840007,0.2,0.0,-0.0
1510746868344834089,0.2,0.0,-0.0
1510746868357794046,0.2,0.0,-0.0
1510746868358953952,0.2,0.0,-0.0
1510746868360244989,0.2,0.0,-0.0
1510746868363617897,0.2,0.0,-0.0
1510746868370027065,0.2,0.0,-0.0
1510746868373116970,0.2,0.0,-0.0
1510746868378613948,0.2,0.0,-0.0
1510746868383913993,0.2,0.0,-0.0
1510746868389883995,0.2,0.0,-0.0
1510746868402841091,0.2,0.0,-0.0
1510746868413209915,0.2,0.0,-0.0
1510746868413983106,0.2,0.0,-0.0
1510746868416549921,0.2,0.0,-0.0
1510746868417438030,0.2,0.0,-0.0
1510746868419414997,0.2,0.0,-0.0
1510746868428324937,0.2,0.0,-0.0
1510746868429285049,0.2,0.0,-0.0
1510746868434241056,0.2,0.0,-0.0
1510746868438478946,0.2,0.0,-0.0
1510746868443604946,0.2,0.0,-0.0
1510746868453454017,0.2,0.0,-0.0
1510746868458208084,0.2,0.0,-0.0
1510746868460649013,0.2,0.0,-0.0
1510746868464659929,0.2,0.0,-0.0
1510746868470136880,0.2,0.0,-0.0
1510746868477483034,0.2,0.0,-0.0
1510746868479649066,0.2,0.0,-0.0
1510746868488745927,0.2,0.0,-0.0
1510746868489255905,0.2,0.0,-0.0
1510746868493942022,0.2,0.0,-0.0
1510746868499349117,0.2,0.0,-0.0
1510746868504014968,0.2,0.0,-0.0
1510746868509643077,0.2,0.0,-0.0
1510746868516155958,0.2,0.0,-0.0
1510746868519112110,0.2,0.0,-0.0
1510746868526637077,0.2,0.0,-0.0
1510746868529122114,0.2,0.0,-0.0
1510746868534137010,0.2,0.0,-0.0
1510746868541944980,0.2,0.0,-0.0
1510746868549778938,0.2,0.0,-0.0
1510746868550846099,0.2,0.0,-0.0
1510746868555896043,0.2,0.0,-0.0
1510746868558917045,0.2,0.0,-0.0
1510746868564519882,0.2,0.0,-0.0
1510746868569166898,0.2,0.0,-0.0
1510746868575892925,0.2,0.0,-0.0
1510746868580465078,0.2,0.0,-0.0
